nps_score	checkin_date	checkout_date	created_at	source	order_id	hotel_name	pod_type	nps_review
10	2023-05-25 0:00:00	2023-05-26 0:00:00	2023-05-28 15:09:16	iOS	10251681489200229	Bobocabin Coban Rondo Malang	Deluxe Cabin	Indah tempatnya , adem 
8	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 14:28:39	iOS	10261684633571517	Bobocabin Baturraden	Executive Cabin	Bobocabin baturraden enak,pelayannya ramah,nyaman,cuma saat sarapan pagi di curug tirtasela kurang privat karena pengunjung lain yg tidak booking ikut turun ke area dikarenakan tidak ada penjagaan. 
8	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 14:09:01	iOS	10231685099965369	Bobocabin Kintamani 	Deluxe Cabin	Location and the whole nature concept is lovely, but unfortunately some guests do not respect the peace and quiet. Too much noise during off hours (22.00 until 07.00) and they leave a lot of food mess outside. This is quite off putting considering Bobocabin is a concept to appreciate nature. 
8	2023-05-26 0:00:00	2023-05-27 0:00:00	2023-05-28 14:08:26	iOS	10231684941045058	Bobocabin Kintamani 	Deluxe Cabin	Location and the whole nature concept is lovely, but unfortunately some guests do not respect the peace and quiet. Too much noise during off hours (22.00 until 07.00) and they leave a lot of food mess outside their cabins. This is quite off putting considering Bobocabin is a concept to appreciate nature.
8	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 10:07:54	iOS	10071685084078633	Bobobox Alun-Alun Bandung	Sky Double	Untuk bobo box alun alunmohon sediakan parkir yang memadai
8	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 9:01:33	Android	10131685072895636	Bobobox Malioboro	EARTH DOUBLE	Harganya makin mahal
10	2023-05-10 0:00:00	2023-05-11 0:00:00	2023-05-28 8:20:35	Android	10081683481391229	Bobobox Kota Tua	SKY DOUBLE	Thats good
10	2023-05-01 0:00:00	2023-05-02 0:00:00	2023-05-28 6:17:58	iOS	10001682923505658	Bobobox Paskal	Earth Double	nice
10	2023-05-17 0:00:00	2023-05-18 0:00:00	2023-05-28 6:17:40	iOS	10001684286806560	Bobobox Paskal	Earth Double	enjoyy
9	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 6:03:33	Android	10261684493974781	Bobocabin Baturraden	EXECUTIVE CABIN	It was a great stay!!
7	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 5:55:08	Android	10131685155256645	Bobobox Malioboro	SKY DOUBLE	Kamar sebaiknya lebih bersih, sprei di ganti jika sudah kotor
8	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 5:33:35	Android	10081684979165307	Bobobox Kota Tua	EARTH DOUBLE	Not bad
10	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 4:59:28	Android	10221681928176391	Bobobox ITC Kuningan	SKY SINGLE	Aangat nyaman nginap di bobobox.
10	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 4:52:18	Android	10181685167312044	Bobobox Mega Bekasi	SKY DOUBLE	kereennnn
10	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 4:49:41	iOS	10121685161813884	Bobobox Juanda Jakarta	Earth Double	Ok
10	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 4:45:56	Android	10041685190895358	Bobobox Pancoran	EARTH DOUBLE	Nice
9	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 4:41:57	Android	10171684736366789	Bobocabin Ranca Upas	STANDARD CABIN	Nice Environment
9	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 4:41:30	Android	10171684736366789	Bobocabin Ranca Upas	STANDARD CABIN	Nice Environment
9	2023-05-26 0:00:00	2023-05-28 0:00:00	2023-05-28 4:41:19	Android	10131685127286189	Bobobox Malioboro	SKY DOUBLE	rekom
10	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 4:38:47	Android	10261684985420535	Bobocabin Baturraden	DELUXE CABIN	Waterfall breakfast is superb
8	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 4:38:30	iOS	10221685121152894	Bobobox ITC Kuningan	Sky Single	Jarang ada tissue 
10	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 4:37:24	iOS	10061685179770371	Bobobox Kebayoran Baru	Earth Double	impressed banget sama facility dan view nya
8	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 4:33:26	Android	10271684750602959	Bobocabin Padusan	EXECUTIVE CABIN	Very nice, calming. New experience to feel nature
10	2023-05-26 23:00:00	2023-05-27 23:00:00	2023-05-28 4:25:11	iOS	10231684812997763	Bobocabin Kintamani 	Deluxe Cabin	Yes Is so nice
9	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 4:23:37	iOS	10131685176216588	Bobobox Malioboro	Sky Double	Mantapss
10	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 4:23:11	Android	10191683954882196	Bobocabin Cikole	STANDARD CABIN	Good
